Domain,Details,Entity,Live?,Redirect?,HTTPS?,Force HTTPS?,HSTS?,HSTS Header
cityofkingman.gov,City,Non-Federal Agency,true,,false,false,false,
cityofkingsburg-ca.gov,City,Non-Federal Agency,true,,false,false,false,
cityoflacrescent-mn.gov,City,Non-Federal Agency,true,,true,false,false,
cityoflagrangemo.gov,City,Non-Federal Agency,true,,false,false,false,
cityoflahabra-ca.gov,City,Non-Federal Agency,true,,false,false,false,
cityoflenexa-ks.gov,City,Non-Federal Agency,true,lenexa.com,false,false,false,
cityoflenexaks.gov,City,Non-Federal Agency,true,lenexa.com,false,false,false,
cityoflincoln-il.gov,City,Non-Federal Agency,false,,false,false,false,
cityoflindaletx.gov,City,Non-Federal Agency,true,lindaletx.gov,false,false,false,
cityoflisbon-ia.gov,City,Non-Federal Agency,true,,false,false,false,
cityoflubbocktx.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmacon-mo.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmarionil.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmarionwi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmccaysvillega.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmidlandmi.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmillbrook-al.gov,City,Non-Federal Agency,true,cityofmillbrook.org,false,false,false,
cityofmonongahela-pa.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmorrowga.gov,City,Non-Federal Agency,true,,false,false,false,
cityofmtvernon-ia.gov,City,Non-Federal Agency,true,,false,false,false,
cityofnanticoke-pa.gov,City,Non-Federal Agency,true,,false,false,false,
cityofnewburgh-ny.gov,City,Non-Federal Agency,true,,false,false,false,
cityofnewulm-mn.gov,City,Non-Federal Agency,false,,false,false,false,
cityofnormandy.gov,City,Non-Federal Agency,true,,false,false,false,
cityofomaha-ne.gov,City,Non-Federal Agency,true,,false,false,false,
cityofpacificwa.gov,City,Non-Federal Agency,true,,false,false,false,
cityofpalmvalley-tx.gov,City,Non-Federal Agency,true,palmvalleytx.com,false,false,false,
cityofparistn.gov,City,Non-Federal Agency,true,,false,false,false,
